Topic_ID,rank,term,weight
0,1,available,2.013460208545087
0,2,acorn,0.5672655879591222
0,3,inference,0.40853439356258003
0,4,bayesian,0.36839726222736185
0,5,convolution,0.31532212227415496
0,6,unreliable,0.3149752486445074
0,7,biased,0.3013811478337364
0,8,associated,0.26786396318968714
0,9,sampler,0.26612175067433846
0,10,batch,0.26433215198069476
0,11,oak,0.25709445586359214
0,12,moisture,0.2570481740819174
0,13,regeneration,0.25640112737352405
0,14,metadata,0.2418055130038913
0,15,medicine,0.23968401062537026
0,16,approximate,0.23161745062896388
0,17,augmentation,0.22583355523455995
0,18,modelling,0.22525882565441663
0,19,probability,0.22096740623962216
0,20,emphasis,0.21250395130609093
1,1,inf,2.151527521334257
1,2,emission,1.641092430435868
1,3,oxide,1.4210196340508716
1,4,catalytic,1.3757718577335805
1,5,combustion,1.3079031513057129
1,6,ligand,1.1901653241331474
1,7,ferrite,1.1720287795962412
1,8,equivalent,1.0770565374969288
1,9,carbon,1.03568016221314
1,10,length,1.0356414740052564
1,11,industrial,1.0340259398733103
1,12,photophysical,0.9910495014930981
1,13,ray,0.9883470419527985
1,14,ethanol,0.9875096255836583
1,15,photocatalytic,0.9635238998178844
1,16,electrocatalyst,0.96284238095498
1,17,particle,0.9469127487901595
1,18,adsorption,0.9361326298864104
1,19,phase,0.930084989335259
1,20,glycol,0.9244682462215191
2,1,tourism,2.2167898936794947
2,2,company,1.8377970649128899
2,3,article,1.7809570295902881
2,4,social,1.7563984716126786
2,5,innovation,1.718593010013771
2,6,sustainability,1.4968485328314878
2,7,economy,1.4884109533548082
2,8,firm,1.447323300818287
2,9,biomass,1.3560134950893181
2,10,employee,1.300272600439537
2,11,sustainable,1.2586002828543095
2,12,government,1.193688776268038
2,13,stakeholder,1.1802086253485227
2,14,sector,1.1730666857068581
2,15,plan,1.1424116635972352
2,16,conceptual,1.1350550942226743
2,17,research,1.0962341759144338
2,18,organizational,1.0779813807556846
2,19,manager,1.0762855799551398
2,20,logistic,1.0610860998253058
3,1,energy,2.517901742925705
3,2,power,2.5083927339858167
3,3,system,2.2270979904902934
3,4,sensor,1.988987579872159
3,5,frequency,1.6913657783884533
3,6,antenna,1.6805523698948923
3,7,optical,1.6786129777323928
3,8,technique,1.6029578410978353
3,9,anisotropy,1.586151095964531
3,10,experimental,1.5412528126237368
3,11,signal,1.485531972712877
3,12,paper,1.3880998781975304
3,13,parameter,1.3578138392661039
3,14,theorem,1.3050753929471788
3,15,photonic,1.262607373499561
3,16,fiber,1.2484760337542284
3,17,simulation,1.2458593405929286
3,18,gan,1.1679647040138845
3,19,thickness,1.165021905260522
3,20,voltage,1.154132269956784
4,1,cell,2.8072910921937146
4,2,acid,2.6859580877408447
4,3,protein,2.207272105125575
4,4,property,1.5484012733888526
4,5,dna,1.5298576834099016
4,6,biological,1.5223537660478346
